start_s,end_s,band,freq_min_hz,freq_max_hz
0.000,0.255,sub_bass,20,60
0.511,0.859,sub_bass,20,60
1.091,1.277,sub_bass,20,60
1.997,2.206,bass,60,250
2.206,2.577,sub_bass,20,60
2.647,2.879,sub_bass,20,60
2.949,3.297,sub_bass,20,60
3.553,3.971,sub_bass,20,60
4.156,4.435,sub_bass,20,60
4.435,4.644,bass,60,250
4.644,5.016,sub_bass,20,60
5.085,5.317,sub_bass,20,60
5.387,5.735,sub_bass,20,60
5.991,6.246,sub_bass,20,60
6.269,6.455,sub_bass,20,60
6.734,6.896,sub_bass,20,60
6.896,7.082,bass,60,250
7.082,7.454,sub_bass,20,60
7.523,7.755,sub_bass,20,60
7.825,8.220,sub_bass,20,60
8.429,8.731,sub_bass,20,60
8.870,9.033,bass,60,250
9.311,9.543,bass,60,250
9.543,9.892,sub_bass,20,60
9.961,10.217,sub_bass,20,60
10.217,10.890,bass,60,250
10.960,12.098,bass,60,250
12.260,12.423,bass,60,250
12.446,13.421,bass,60,250
13.444,14.652,bass,60,250
14.698,14.954,bass,60,250
14.977,15.882,bass,60,250
15.929,17.136,bass,60,250
17.183,17.392,bass,60,250
17.461,18.297,bass,60,250
18.367,19.574,bass,60,250
19.598,19.900,bass,60,250
19.923,20.805,bass,60,250
20.875,22.059,bass,60,250
22.361,24.520,bass,60,250
24.869,25.821,bass,60,250
25.844,27.028,bass,60,250
27.237,27.423,mid,500,2000
27.423,28.189,bass,60,250
28.212,29.675,bass,60,250
30.093,30.348,sub_bass,20,60
30.348,30.557,bass,60,250
31.393,31.811,bass,60,250
31.951,32.113,bass,60,250
32.531,32.833,sub_bass,20,60
33.158,33.437,sub_bass,20,60
33.831,34.249,bass,60,250
34.249,34.458,sub_bass,20,60
34.691,34.923,sub_bass,20,60
34.969,35.271,sub_bass,20,60
35.596,35.759,sub_bass,20,60
36.293,36.455,bass,60,250
36.502,36.688,bass,60,250
36.688,36.897,sub_bass,20,60
37.129,37.361,sub_bass,20,60
37.407,37.640,sub_bass,20,60
38.034,38.197,sub_bass,20,60
38.708,38.940,bass,60,250
38.963,39.126,bass,60,250
39.126,39.311,sub_bass,20,60
39.567,39.799,sub_bass,20,60
39.869,40.078,sub_bass,20,60
