start_s,end_s,band,freq_min_hz,freq_max_hz
0.000,0.395,treble,4000,8000
0.418,0.604,treble,4000,8000
0.627,3.088,bass,60,250
3.181,8.243,bass,60,250
8.290,10.913,bass,60,250
10.913,11.424,sub_bass,20,60
11.564,11.865,bass,60,250
11.912,12.074,bass,60,250
12.190,12.423,sub_bass,20,60
12.492,12.934,sub_bass,20,60
12.934,13.119,bass,60,250
13.166,13.468,bass,60,250
13.468,13.955,sub_bass,20,60
14.095,14.420,bass,60,250
14.466,14.629,bass,60,250
14.745,14.954,sub_bass,20,60
15.070,15.488,sub_bass,20,60
15.488,16.022,bass,60,250
16.022,16.509,sub_bass,20,60
16.649,16.974,bass,60,250
17.020,17.183,bass,60,250
17.299,17.508,sub_bass,20,60
17.601,18.042,sub_bass,20,60
18.042,18.228,bass,60,250
18.274,18.576,bass,60,250
18.576,19.064,sub_bass,20,60
19.203,19.528,bass,60,250
19.853,20.062,sub_bass,20,60
20.155,20.596,sub_bass,20,60
20.596,21.130,bass,60,250
21.130,21.618,sub_bass,20,60
21.780,22.082,bass,60,250
22.407,22.616,sub_bass,20,60
22.709,23.150,sub_bass,20,60
23.684,24.172,sub_bass,20,60
24.335,24.497,bass,60,250
24.961,25.170,sub_bass,20,60
25.263,25.704,sub_bass,20,60
25.867,26.215,bass,60,250
26.215,26.726,sub_bass,20,60
26.889,27.051,bass,60,250
27.516,27.725,sub_bass,20,60
27.818,28.259,sub_bass,20,60
28.770,29.280,sub_bass,20,60
30.047,30.279,sub_bass,20,60
30.372,30.790,sub_bass,20,60
30.790,31.161,bass,60,250
31.324,31.835,sub_bass,20,60
31.997,32.183,bass,60,250
32.322,32.485,bass,60,250
32.601,32.833,sub_bass,20,60
32.926,33.367,sub_bass,20,60
33.878,34.389,sub_bass,20,60
34.551,34.714,bass,60,250
34.876,35.039,bass,60,250
35.155,35.387,sub_bass,20,60
35.480,35.921,sub_bass,20,60
35.991,36.432,bass,60,250
36.432,36.943,sub_bass,20,60
37.431,37.593,bass,60,250
37.709,37.941,sub_bass,20,60
38.034,38.452,sub_bass,20,60
38.986,39.497,sub_bass,20,60
39.985,40.147,bass,60,250
40.263,40.496,sub_bass,20,60
40.565,41.006,sub_bass,20,60
41.006,41.169,bass,60,250
41.355,41.540,bass,60,250
41.540,42.028,sub_bass,20,60
42.539,42.701,bass,60,250
42.818,43.050,sub_bass,20,60
43.119,43.561,sub_bass,20,60
44.095,44.582,sub_bass,20,60
44.745,44.931,bass,60,250
45.093,45.256,bass,60,250
45.372,45.581,sub_bass,20,60
45.674,46.115,sub_bass,20,60
46.161,46.649,bass,60,250
46.649,47.137,sub_bass,20,60
